	OR286_P32TSO	OR287_P32_ISI	OR288_P32_TSO	OR292_P32_ISO	OR293_P32_ISO	OR294_P32_TSO	OR295_P32_ISI	OR296_P32_TSI	OR297_P32_ISI	WH104_P32_TSI	WH112_P32_ISO	WH114_P32_TSI
A1CF	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	1	0
AACS	71	98	93	100	64	128	125	66	116	76	64	90
AADAC	0	0	0	0	1	3	1	1	0	1	0	0
AADAT	4	6	5	3	2	4	8	3	9	4	6	8
AAGAB	176	97	115	133	106	112	87	115	169	77	171	142
AAK1	416	356	415	417	383	435	441	365	486	383	446	429
AAMDC	11	20	10	12	11	19	12	13	20	12	24	23
AAMP	104	72	88	113	94	90	92	74	103	50	104	87
AANAT	0	2	0	1	0	2	0	1	1	2	2	1
AAR2	47	27	24	37	29	34	44	29	49	23	51	29
AARS1	142	108	132	146	145	121	105	136	137	120	125	134
AARS2	32	17	22	30	26	23	32	18	33	20	20	31
AASDH	26	12	16	19	20	17	12	24	12	12	21	13
AASDHPPT	85	98	84	79	105	90	82	79	129	68	138	113
AASS	2	1	1	2	1	1	0	3	0	2	0	2
AATF	33	32	49	43	55	55	31	36	69	45	60	60
AATK	174	136	180	182	196	164	161	149	180	166	158	155
ABAT	328	255	275	211	295	275	370	206	265	200	277	262
ABCA1	40	28	18	42	36	46	27	40	29	18	48	29
ABCA12	7	4	5	0	8	2	5	6	13	3	5	2
ABCA13	0	1	2	0	2	1	3	1	2	1	1	0
ABCA2	166	148	150	175	135	164	187	150	161	176	147	145
ABCA3	130	94	148	142	121	144	150	149	115	116	148	131
ABCA4	1	2	1	0	3	0	1	1	3	0	0	0
ABCA5	123	67	120	113	82	98	86	85	145	66	127	119
ABCA7	4	5	5	3	2	2	12	7	5	3	3	3
ABCB1	26	35	35	25	35	30	38	27	40	30	50	34
ABCB10	25	12	18	17	19	15	15	12	21	8	15	15
ABCB11	4	2	6	3	1	5	3	1	2	1	2	0
ABCB5	3	4	7	8	0	7	19	4	8	5	5	7
ABCB6	51	50	47	53	46	59	41	57	68	26	60	54
ABCB7	71	59	58	75	83	86	63	60	79	54	78	73
ABCB8	21	25	23	25	17	18	20	15	27	16	23	17
ABCB9	72	42	55	61	41	50	43	38	79	53	91	58
ABCC10	41	31	34	44	25	28	30	34	47	24	33	46
ABCC2	15	11	11	12	6	18	28	9	15	17	5	11
ABCC3	8	3	2	5	7	12	1	6	6	7	10	9
ABCC4	19	26	22	25	23	24	24	22	14	22	26	22
ABCC5	219	201	287	239	196	318	352	263	254	219	269	299
ABCC8	33	79	63	55	61	64	59	32	58	62	69	61
ABCC9	11	10	13	11	10	13	10	10	11	8	8	21
ABCD2	103	99	96	87	99	116	112	97	147	89	117	99
ABCD3	200	132	160	153	135	152	134	142	195	124	163	126
ABCD4	57	70	56	82	52	70	67	72	53	52	97	74
ABCE1	142	114	144	110	122	144	148	138	196	117	152	158
ABCF1	24	27	14	37	40	37	26	37	51	33	34	47
ABCF3	37	27	43	37	25	33	44	28	50	21	28	38
ABCG1	129	83	121	95	118	96	69	163	126	80	146	75
ABCG2	7	8	7	3	6	4	9	6	2	3	2	4
ABCG4	192	155	210	166	154	144	146	150	207	182	195	178
ABCG5	0	1	0	2	0	0	0	0	0	0	2	1
ABCG8	1	0	1	0	0	0	0	0	1	0	1	0
ABHD10	46	18	36	37	26	49	40	22	46	28	37	23
ABHD12	110	96	96	83	94	107	110	94	89	82	107	127
ABHD12B	20	21	24	25	25	31	28	22	40	29	29	16
ABHD13	65	42	78	72	54	63	71	68	65	74	132	90
ABHD14A	53	15	15	42	36	31	32	30	30	21	37	20
ABHD14B	56	32	31	30	31	32	44	60	64	22	40	33
ABHD15	8	1	3	0	0	5	4	4	2	2	3	2
ABHD17A	84	69	92	108	114	86	120	93	125	88	85	127
ABHD17B	46	45	62	64	54	60	69	50	74	46	66	50
ABHD17C	45	42	42	52	57	65	46	49	58	45	53	68
ABHD18	63	62	69	67	67	120	78	78	95	62	67	66
ABHD2	147	68	92	106	104	89	72	101	96	89	155	100
ABHD3	384	267	333	252	311	349	364	262	407	281	354	306
ABHD5	49	40	39	40	41	43	39	30	58	45	40	41
ABHD6	103	79	100	87	113	110	99	88	139	83	83	105
ABI1	284	194	218	241	213	265	243	220	302	192	230	242
ABI2	425	452	441	437	453	463	445	437	624	409	549	525
ABI3	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	1	0	0	1	3	14	3	1	0	1	4	1
ABITRAM	31	19	35	31	32	24	5	23	34	8	35	22
ABL1	36	17	29	24	22	30	40	26	24	16	24	19
ABL2	51	34	47	43	49	69	41	59	62	29	65	49
ABLIM1	84	90	77	82	62	137	92	109	73	76	108	80
ABLIM2	169	102	122	117	160	127	113	143	166	133	171	125
ABLIM3	73	53	77	86	58	82	68	90	90	58	68	90
ABR	403	337	432	456	423	457	410	371	493	408	515	484
ABRA	0	0	1	0	4	0	0	0	0	0	1	2
ABRACL	66	41	73	64	119	73	45	55	80	65	81	82
ABRAXAS1	29	18	23	30	32	31	14	46	27	19	40	19
ABRAXAS2	58	44	49	55	54	50	44	41	70	43	40	53
ABTB1	98	91	70	66	96	74	82	78	126	86	89	84
ABTB2	17	16	14	11	16	13	29	10	25	15	22	29
ACAA1	109	59	62	50	88	76	85	85	79	59	110	77
ACAA2	48	33	39	41	49	63	35	31	43	25	43	33
ACACA	25	36	43	44	26	50	59	41	29	28	41	36
ACACB	0	0	0	0	1	1	1	0	0	0	0	0
ACAD10	8	4	6	6	7	2	8	5	3	3	6	4
ACAD11	28	10	17	11	21	16	11	29	19	10	20	20
ACAD8	64	33	46	43	44	52	19	48	41	29	59	41
ACAD9	104	48	59	100	67	73	93	111	124	38	96	89
ACADL	255	108	133	126	132	199	165	133	195	115	168	152
ACADM	66	62	48	65	102	75	85	61	88	54	75	85
ACADS	83	40	41	75	56	84	82	69	60	53	71	59
ACADSB	62	39	47	53	57	70	64	57	53	38	55	45
ACAN	11	22	10	13	17	17	19	20	30	34	15	15
ACAP2	54	46	48	70	53	44	62	51	55	57	50	62
ACAP3	368	427	504	508	433	692	648	403	607	482	565	629
ACAT1	269	250	219	306	306	274	294	233	345	203	214	225
ACAT2	115	85	111	108	108	110	117	81	132	92	91	118
