	OR171_67ISO	OR179_67ISO	OR198_67ISO	OR203_67ISO	OR212_67ISO	OR227_67ISO	OR233_67ISI	OR172_67ISI	OR174_67ISI	OR184_67ISI	OR195_67ISI	OR216_67ISI
A1CF	0	0	0	0	0	0	0	0	0	0	0	1
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0
AACS	70	91	60	111	95	72	121	123	84	59	104	63
AADAC	1	0	1	1	1	0	0	0	0	0	1	2
AADAT	6	2	6	6	3	2	5	5	2	9	9	1
AAGAB	114	109	72	122	92	107	81	96	129	97	98	79
AAK1	442	501	368	460	472	422	418	449	374	454	463	412
AAMDC	28	22	23	22	12	15	19	14	11	19	15	18
AAMP	92	87	81	95	96	95	93	124	107	97	82	92
AANAT	0	1	1	0	0	0	0	0	2	1	3	2
AAR2	41	42	35	41	40	25	32	21	39	33	33	39
AARS1	129	118	96	99	114	142	91	97	129	90	112	92
AARS2	26	28	15	25	18	17	23	29	37	27	20	21
AASDH	17	24	12	22	12	16	21	10	20	15	14	23
AASDHPPT	119	83	98	110	74	81	95	66	105	91	79	84
AASS	0	2	3	1	0	2	1	2	1	0	1	3
AATF	51	35	47	61	45	32	43	40	50	40	39	35
AATK	150	197	177	205	167	180	217	189	173	183	173	164
ABAT	232	241	219	292	274	321	277	308	318	255	220	287
ABCA1	25	27	27	32	28	39	26	22	26	33	23	27
ABCA12	8	3	1	9	6	10	4	7	3	3	2	7
ABCA13	1	2	0	3	1	0	3	0	3	4	0	1
ABCA2	149	190	124	166	152	171	150	152	115	144	144	178
ABCA3	125	109	139	137	124	120	125	95	84	121	124	144
ABCA4	2	2	0	0	0	0	2	1	0	1	0	2
ABCA5	112	108	96	148	111	105	88	119	97	93	126	105
ABCA7	5	3	5	9	10	9	3	4	9	4	5	1
ABCB1	34	35	26	39	28	52	32	34	37	35	35	30
ABCB10	16	11	7	13	13	22	16	7	13	14	9	29
ABCB11	1	3	3	4	4	2	3	3	3	3	2	1
ABCB5	9	6	6	10	5	8	3	16	6	4	3	1
ABCB6	50	23	29	40	38	20	30	34	43	29	21	49
ABCB7	68	71	49	54	55	68	68	72	107	59	64	71
ABCB8	25	16	6	14	21	20	14	18	9	17	5	18
ABCB9	55	74	53	46	36	60	47	44	66	47	47	64
ABCC10	42	24	47	35	38	36	31	42	46	27	22	39
ABCC2	20	24	8	13	7	10	17	17	13	9	5	7
ABCC3	7	10	5	13	3	12	7	9	6	5	5	14
ABCC4	14	23	24	26	22	34	14	20	27	23	21	34
ABCC5	270	293	241	321	212	241	281	256	203	252	257	265
ABCC8	47	70	59	84	39	68	74	58	45	73	57	34
ABCC9	10	13	9	16	12	15	10	11	15	14	9	10
ABCD2	109	136	85	100	92	129	109	100	121	138	102	102
ABCD3	99	133	165	147	109	114	99	127	138	154	124	130
ABCD4	85	68	59	55	54	78	73	68	49	84	80	87
ABCE1	122	136	124	143	124	148	125	141	168	172	108	104
ABCF1	37	29	23	40	23	63	54	29	41	41	26	35
ABCF3	34	49	25	38	33	36	25	36	29	27	39	26
ABCG1	88	118	118	139	99	165	104	132	105	125	105	135
ABCG2	7	11	4	7	3	7	7	6	6	3	5	6
ABCG4	162	181	166	200	170	199	184	233	194	188	198	176
ABCG5	0	0	1	0	2	0	0	1	0	1	0	0
ABCG8	0	1	1	0	3	0	0	1	1	0	0	1
ABHD10	16	32	23	49	31	39	29	40	59	31	22	30
ABHD12	62	90	77	91	112	96	87	97	115	79	65	67
ABHD12B	23	14	25	17	22	13	24	22	25	25	13	24
ABHD13	81	79	67	85	60	69	74	92	85	70	60	65
ABHD14A	27	20	14	44	40	13	38	25	31	27	25	27
ABHD14B	35	11	31	41	21	49	21	33	28	33	3	48
ABHD15	1	6	2	1	2	1	4	1	3	1	4	0
ABHD17A	65	139	66	101	84	99	82	79	95	103	91	73
ABHD17B	60	51	51	41	54	52	48	46	63	53	49	50
ABHD17C	39	45	47	48	38	47	36	51	45	41	38	40
ABHD18	63	52	63	55	98	48	63	90	65	55	81	54
ABHD2	93	79	78	101	88	116	94	92	89	94	68	123
ABHD3	263	281	214	328	363	254	277	334	370	283	263	296
ABHD5	52	38	29	42	39	35	37	42	56	44	31	33
ABHD6	125	99	84	131	101	89	118	122	105	102	91	59
ABI1	237	246	205	297	245	217	241	283	277	226	220	217
ABI2	560	541	410	483	401	480	472	549	455	502	477	467
ABI3	0	0	0	0	0	0	0	0	0	0	0	0
